Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
Marcus Johnson Jr.,Field Goal Attempt,Jemerrio Jones Offensive Rebound,,1 - 11:45,,,,
Jemerrio Jones,Turnover,,,1 - 11:42,,,,
,,,,1 - 11:40,,Doniel Dean,Steal,
,,Devocio Butler Defensive Rebound,,1 - 11:27,,Montrel Goldston,Three Point Attempt,
Devocio Butler,Offensive Foul,,,1 - 11:20,,,,
Devocio Butler,Turnover,,,1 - 11:20,,,,
,,,18-12,1 - 10:52,6,Montrel Goldston,Field Goal Made,
Jemerrio Jones,Field Goal Made,,20-12,1 - 10:33,8,,,
Evan Moorman,Assist,,,1 - 10:32,,,,
,,,,1 - 10:26,,Doniel Dean,Field Goal Attempt,
Jemerrio Jones,Blocked shot,,,1 - 10:24,,,,
Jemerrio Jones,Defensive Rebound,,,1 - 10:24,,,,
Jemerrio Jones,Turnover,,,1 - 10:17,,,,
,,,,1 - 10:16,,Montrel Goldston,Steal,
,,Devocio Butler Defensive Rebound,,1 - 10:08,,Denzel Council,Field Goal Attempt,
,,,,1 - 10:02,,Montrel Goldston,Left the Game,
,,,,1 - 10:02,,Denzel Council,Left the Game,Terrence Thompson Entered the Game
,,,,1 - 10:02,,Ty Toney,Entered the Game,
Marcus Johnson Jr.,Field Goal Made,,22-12,1 - 9:46,10,,,
,,Coris Williams Jr. Defensive Rebound,,1 - 9:34,,Terrence Thompson,Three Point Attempt,
Evan Moorman,Three Point Made,,25-12,1 - 9:26,13,,,
Marcus Johnson Jr.,Assist,,,1 - 9:26,,,,
Coris Williams Jr.,Left the Game,,,1 - 9:09,,,,
Jemerrio Jones,Left the Game,Tyrell Bellot-Green Entered the Game,,1 - 9:09,,,,
Kristian Keys,Entered the Game,,,1 - 9:09,,,,
,,Kristian Keys Defensive Rebound,,1 - 8:56,,Donovan Harris,Field Goal Attempt,
Marcus Johnson Jr.,Field Goal Made,,27-12,1 - 8:46,15,,,
,,,27-14,1 - 8:28,13,Doniel Dean,Field Goal Made,
Evan Moorman,Three Point Made,,30-14,1 - 8:16,16,,,
Marcus Johnson Jr.,Assist,,,1 - 8:15,,,,
,,,,1 - 8:01,,Terrence Thompson,Field Goal Attempt,Donovan Harris Offensive Rebound
Kristian Keys,Defensive Foul,,,1 - 7:59,,,,
,,,,1 - 7:59,,Taquan Givens,Left the Game,
,,,,1 - 7:59,,Donovan Harris,Left the Game,Montrel Goldston Entered the Game
,,,,1 - 7:59,,Denzel Council,Entered the Game,
,,,30-15,1 - 7:59,15,Donovan Harris,Free Throw Made,
,,,30-16,1 - 7:59,14,Donovan Harris,Free Throw Made,
Marcus Johnson Jr.,Field Goal Attempt,,,1 - 7:40,,,,
,,,,1 - 7:38,,Denzel Council,Blocked shot,
,,,,1 - 7:36,,Doniel Dean,Defensive Rebound,
Marcus Johnson Jr.,Defensive Foul,,,1 - 7:30,,,,
Marcus Johnson Jr.,Left the Game,Jemerrio Jones Entered the Game,,1 - 7:30,,,,
,,,30-17,1 - 7:30,13,Terrence Thompson,Free Throw Made,
,,,30-18,1 - 7:30,12,Terrence Thompson,Free Throw Made,
Jemerrio Jones,Three Point Attempt,,,1 - 7:08,,,,Georgia Highlands Defensive Rebound
,,,,1 - 6:54,,Ty Toney,Turnover,
Kristian Keys,Steal,,,1 - 6:53,,,,
Kristian Keys,Field Goal Attempt,Hill College Offensive Rebound,,1 - 6:49,,,,
,,,,1 - 6:50,,Terrence Thompson,Defensive Foul,
Evan Moorman,Field Goal Attempt,Jemerrio Jones Offensive Rebound,,1 - 6:30,,,,
Jemerrio Jones,Field Goal Attempt,Hill College Offensive Rebound,,1 - 6:28,,,,
Tyrell Bellot-Green,Field Goal Attempt,,,1 - 6:22,,,,
,,,,1 - 6:20,,Terrence Thompson,Blocked shot,
,,,,1 - 6:19,,Doniel Dean,Defensive Rebound,
,,,,1 - 6:11,,Montrel Goldston,Turnover,
Devocio Butler,Field Goal Attempt,,,1 - 5:54,,,,Denzel Council Defensive Rebound
,,Tyrell Bellot-Green Defensive Rebound,,1 - 5:42,,Denzel Council,Three Point Attempt,
Jemerrio Jones,Turnover,,,1 - 5:34,,,,
,,,,1 - 5:32,,Doniel Dean,Left the Game,
,,,,1 - 5:32,,Terrence Thompson,Left the Game,Taquan Givens Entered the Game
,,,,1 - 5:32,,Donovan Harris,Entered the Game,
Evan Moorman,Left the Game,,,1 - 5:32,,,,
Tyrell Bellot-Green,Left the Game,Marcus Johnson Jr. Entered the Game,,1 - 5:32,,,,
Coris Williams Jr.,Entered the Game,,,1 - 5:32,,,,
,,,,1 - 5:15,,Donovan Harris,Turnover,
,,,,1 - 4:52,,Denzel Council,Defensive Foul,
Kristian Keys,Left the Game,Stefan Zecevic Entered the Game,,1 - 4:52,,,,
Coris Williams Jr.,Free Throw Made,,31-18,1 - 4:52,13,,,
Coris Williams Jr.,Free Throw Made,,32-18,1 - 4:52,14,,,
,,,32-20,1 - 4:41,12,Ty Toney,Field Goal Made,
,,,,1 - 4:52,,Montrel Goldston,Left the Game,Doniel Dean Entered the Game
Coris Williams Jr.,Three Point Made,,35-20,1 - 4:38,15,,,
Marcus Johnson Jr.,Assist,,,1 - 4:38,,,,
,,,35-22,1 - 4:06,13,Taquan Givens,Field Goal Made,
,,,,1 - 4:04,,Ty Toney,Assist,
Jemerrio Jones,Three Point Attempt,,,1 - 3:34,,,,Georgia Highlands Defensive Rebound
,,Coris Williams Jr. Defensive Rebound,,1 - 3:16,,Ty Toney,Field Goal Attempt,
Stefan Zecevic,Field Goal Attempt,Jemerrio Jones Offensive Rebound,,1 - 3:06,,,,
Jemerrio Jones,Field Goal Made,,37-22,1 - 3:04,15,,,
,,Marcus Johnson Jr. Defensive Rebound,,1 - 2:51,,Denzel Council,Field Goal Attempt,
Stefan Zecevic,Field Goal Made,,39-22,1 - 2:43,17,,,
Marcus Johnson Jr.,Assist,,,1 - 2:42,,,,
,,Jemerrio Jones Defensive Rebound,,1 - 2:22,,Taquan Givens,Field Goal Attempt,
Devocio Butler,Three Point Attempt,Stefan Zecevic Offensive Rebound,,1 - 2:14,,,,
Marcus Johnson Jr.,Field Goal Made,,41-22,1 - 2:06,19,,,
,,,,1 - 2:05,,Doniel Dean,Left the Game,
,,,,1 - 2:05,,Taquan Givens,Left the Game,
,,,,1 - 2:05,,Denzel Council,Left the Game,
,,,,1 - 2:05,,Donovan Harris,Left the Game,
,,,,1 - 2:05,,Ty Toney,Left the Game,Jordan Adams Entered the Game
,,,,1 - 2:05,,Terrence Thompson,Entered the Game,
,,,,1 - 2:05,,Doniel Dean,Entered the Game,
,,,,1 - 2:05,,Taquan Givens,Entered the Game,
,,,,1 - 2:05,,Montrel Goldston,Entered the Game,
,,,,1 - 1:51,,Terrence Thompson,Field Goal Attempt,
Stefan Zecevic,Blocked shot,,,1 - 1:50,,,,
Devocio Butler,Defensive Rebound,,,1 - 1:47,,,,
Marcus Johnson Jr.,Three Point Attempt,,,1 - 1:41,,,,Taquan Givens Defensive Rebound
,,,41-24,1 - 1:36,17,Terrence Thompson,Field Goal Made,
,,,,1 - 1:36,,Taquan Givens,Assist,
Stefan Zecevic,Defensive Foul,,,1 - 1:36,,,,
,,,,1 - 1:36,,Terrence Thompson,Free Throw Attempt,Georgia Highlands Offensive Rebound
,,,41-27,1 - 1:24,14,Terrence Thompson,Three Point Made,
,,,,1 - 1:24,,Taquan Givens,Assist,
Stefan Zecevic,Field Goal Made,,43-27,1 - 1:13,16,,,
Jemerrio Jones,Assist,,,1 - 1:12,,,,
,,,43-29,1 - 0:59,14,Terrence Thompson,Field Goal Made,
,,,,1 - 0:57,,Doniel Dean,Assist,
Jemerrio Jones,Field Goal Attempt,,,1 - 0:46,,,,Jordan Adams Defensive Rebound
,,,,1 - 0:38,,Terrence Thompson,Three Point Attempt,Jordan Adams Offensive Rebound
Jemerrio Jones,Defensive Foul,,,1 - 0:35,,,,
Stefan Zecevic,Left the Game,Evan Moorman Entered the Game,,1 - 0:35,,,,
,,,,1 - 0:35,,Terrence Thompson,Free Throw Attempt,Georgia Highlands Offensive Rebound
,,,43-30,1 - 0:35,13,Terrence Thompson,Free Throw Made,
Evan Moorman,Three Point Made,,46-30,1 - 0:01,16,,,
Coris Williams Jr.,Assist,,,1 - 0:01,,,,
Evan Moorman,Left the Game,,,2 - 20:00,,,,
Marcus Johnson Jr.,Left the Game,,,2 - 20:00,,,,
Coris Williams Jr.,Left the Game,,,2 - 20:00,,,,
Jemerrio Jones,Left the Game,,,2 - 20:00,,,,
Devocio Butler,Left the Game,,,2 - 20:00,,,,
,,,,2 - 20:00,,Doniel Dean,Left the Game,
,,,,2 - 20:00,,Taquan Givens,Left the Game,
,,,,2 - 20:00,,Montrel Goldston,Left the Game,
,,,,2 - 20:00,,Terrence Thompson,Left the Game,
,,,,2 - 20:00,,Jordan Adams,Left the Game,Doniel Dean Entered the Game
,,,,,,1 Taquan Givens,Entered Game,
,,,,,,32 Ty Toney,Entered Game,
,,,,,,3 Denzel Council,Entered Game,
,,,,,,15 Donovan Harris,Entered Game,
21 Jemerrio Jones,Entered Game,,,,,,,
Kristian Keys,Field Goal Attempt,,,2 - 19:50,,,,Donovan Harris Defensive Rebound
Marcus Johnson Jr.,Defensive Foul,,,2 - 19:42,,,,
,,,,2 - 19:42,,Taquan Givens,Free Throw Attempt,Georgia Highlands Offensive Rebound
,,,,2 - 19:42,,Taquan Givens,Free Throw Attempt,Doniel Dean Offensive Rebound
,,Coris Williams Jr. Defensive Rebound,,2 - 19:34,,Taquan Givens,Field Goal Attempt,
Jemerrio Jones,Turnover,,,2 - 19:23,,,,
,,,,2 - 19:22,,Ty Toney,Steal,
,,,46-32,2 - 19:18,14,Ty Toney,Field Goal Made,
Tyrell Bellot-Green,Three Point Made,,49-32,2 - 18:57,17,,,
Marcus Johnson Jr.,Assist,,,2 - 18:57,,,,
,,,,2 - 18:33,,Donovan Harris,Turnover,
Tyrell Bellot-Green,Steal,,,2 - 18:32,,,,
Coris Williams Jr.,Turnover,,,2 - 18:29,,,,
,,,,2 - 18:28,,Ty Toney,Steal,
