Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
Brandon Austin,Left the Game,,,1 - 13:00,,,,
Benji Bell,Left the Game,,,1 - 13:00,,,,
William Pfister,Left the Game,,,1 - 13:00,,,,
,,,,1 - 13:00,,Justin Pride,Turnover,
Treshaad Williams,Entered the Game,,,1 - 13:00,,,,
Benji Bell,Entered the Game,,,1 - 13:00,,,,
Brandon Austin,Entered the Game,,,1 - 13:00,,,,
Jalen Jackson,Entered the Game,,,1 - 13:00,,,,
William Pfister,Entered the Game,,,1 - 13:00,,,,
Benji Bell,Field Goal Attempt,,,1 - 12:38,,,,Jamontae Davis Defensive Rebound
,,,,1 - 12:26,,Jamontae Davis,Field Goal Attempt,
Jalen Jackson,Blocked shot,,,1 - 12:23,,,,
,,,,1 - 12:22,,AJ Dodd,Offensive Rebound,
,,Benji Bell Defensive Rebound,,1 - 12:09,,Jamontae Davis,Field Goal Attempt,
Brandon Austin,Field Goal Attempt,,,1 - 11:58,,,,Jamontae Davis Defensive Rebound
,,,,1 - 11:48,,Justin Pride,Turnover,
Benji Bell,Steal,,,1 - 11:45,,,,
Treshaad Williams,Turnover,,,1 - 11:44,,,,
,,,,1 - 11:43,,Jamontae Davis,Steal,
,,,17-17,1 - 11:28,(T4),Justin Pride,Field Goal Made,
Benji Bell,Three Point Attempt,,,1 - 11:15,,,,Justin Pride Defensive Rebound
Treshaad Williams,Defensive Foul,,,1 - 11:11,,,,
Treshaad Williams,Left the Game,,,1 - 11:11,,,,
William Pfister,Left the Game,Keith Charleston Entered the Game,,1 - 11:11,,,,
Jordan Capps,Entered the Game,,,1 - 11:11,,,,
,,,,1 - 11:11,,Jamontae Davis,Left the Game,Ramond Jenkins Entered the Game
,,,,1 - 11:11,,Immanuel Griggs,Free Throw Attempt,Columbia State Offensive Rebound
,,,17-18,1 - 11:11,-1 (L12),Immanuel Griggs,Free Throw Made,
Brandon Austin,Field Goal Attempt,,,1 - 11:11,,,,Justin Pride Defensive Rebound
,,,,1 - 11:11,,Justin Pride,Turnover,
Jalen Jackson,Steal,,,1 - 11:11,,,,
Brandon Austin,Field Goal Attempt,Jordan Capps Offensive Rebound,,1 - 11:11,,,,
Jordan Capps,Field Goal Made,,19-18,1 - 11:11,1 (L13),,,
,,,,1 - 11:11,,Immanuel Griggs,Turnover,
Brandon Austin,Steal,,,1 - 11:11,,,,
,,,,1 - 10:05,,Ramond Jenkins,Defensive Foul,
,,,,1 - 10:05,,Justin Pride,Left the Game,Blake Johnson Entered the Game
,,,,1 - 10:05,,Immanuel Griggs,Defensive Foul,
Brandon Austin,Free Throw Attempt,NW Florida Offensive Rebound,,1 - 10:05,,,,
Brandon Austin,Free Throw Made,,20-18,1 - 10:05,2,,,
,,,,1 - 10:01,,AJ Dodd,Turnover,
Jalen Jackson,Field Goal Attempt,,,1 - 9:47,,,,Immanuel Griggs Defensive Rebound
,,,,1 - 9:43,,Immanuel Griggs,Turnover,
Jalen Jackson,Steal,,,1 - 9:43,,,,
Jordan Capps,Offensive Foul,,,1 - 9:41,,,,
Jordan Capps,Turnover,,,1 - 9:41,,,,
,,,,1 - 9:41,,Immanuel Griggs,Charge,
,,,,1 - 9:17,,Ramond Jenkins,Turnover,
Benji Bell,Steal,,,1 - 9:14,,,,
Jalen Jackson,Field Goal Made,,22-18,1 - 9:04,4,,,
Brandon Austin,Assist,,,1 - 9:04,,,,
,,Jordan Capps Defensive Rebound,,1 - 8:58,,Ramond Jenkins,Field Goal Attempt,
,,,,1 - 8:43,,Blake Johnson,Defensive Foul,
Brandon Austin,Left the Game,Xavier Moon Entered the Game,,1 - 8:43,,,,
,,,,1 - 8:43,,AJ Dodd,Left the Game,
,,,,1 - 8:43,,Matt Brown,Left the Game,
,,,,1 - 8:43,,Ramond Jenkins,Left the Game,Jamonte Graham Entered the Game
,,,,1 - 8:43,,Jamontae Davis,Entered the Game,
,,,,1 - 8:43,,Justin Pride,Entered the Game,
Keith Charleston,Free Throw Made,,23-18,1 - 8:43,5,,,
Keith Charleston,Free Throw Attempt,,,1 - 8:43,,,,Jamontae Davis Defensive Rebound
,,,,1 - 8:26,,Jamonte Graham,Turnover,
Jalen Jackson,Steal,,,1 - 8:25,,,,
Jalen Jackson,Field Goal Made,,25-18,1 - 8:22,7,,,
Xavier Moon,Assist,,,1 - 8:21,,,,
Xavier Moon,Defensive Foul,,,1 - 8:13,,,,
,,,,1 - 8:13,,Immanuel Griggs,Left the Game,TJ Dunans Entered the Game
,,,25-19,1 - 8:13,6,Justin Pride,Free Throw Made,
,,,25-20,1 - 8:13,5,Justin Pride,Free Throw Made,
Jordan Capps,Three Point Attempt,,,1 - 7:51,,,,Blake Johnson Defensive Rebound
Keith Charleston,Defensive Foul,,,1 - 7:43,,,,
,,,25-21,1 - 7:43,4,TJ Dunans,Free Throw Made,
,,Jalen Jackson Defensive Rebound,,1 - 7:43,,TJ Dunans,Free Throw Attempt,
Keith Charleston,Field Goal Made,,27-21,1 - 7:38,6,,,
Benji Bell,Assist,,,1 - 7:38,,,,
,,,,1 - 7:38,,Jamontae Davis,Defensive Foul,
Keith Charleston,Free Throw Attempt,,,1 - 7:36,,,,TJ Dunans Defensive Rebound
Keith Charleston,Defensive Foul,,,1 - 7:27,,,,
,,Jalen Jackson Defensive Rebound,,1 - 7:27,,TJ Dunans,Free Throw Attempt,
,,,,1 - 7:12,,TJ Dunans,Defensive Foul,
Jalen Jackson,Left the Game,Brandon Austin Entered the Game,,1 - 7:12,,,,
,,,,1 - 7:12,,TJ Dunans,Left the Game,Immanuel Griggs Entered the Game
Benji Bell,Free Throw Attempt,NW Florida Offensive Rebound,,1 - 7:12,,,,
Benji Bell,Free Throw Attempt,,,1 - 7:12,,,,Jamontae Davis Defensive Rebound
,,,27-23,1 - 6:57,4,Jamontae Davis,Field Goal Made,
,,,,1 - 6:56,,Justin Pride,Assist,
Brandon Austin,Turnover,,,1 - 6:45,,,,
,,Xavier Moon Defensive Rebound,,1 - 6:28,,Jamonte Graham,Three Point Attempt,
Xavier Moon,Turnover,,,1 - 6:28,,,,
,,,,1 - 6:28,,Blake Johnson,Left the Game,Taljon Cromer Entered the Game
Jordan Capps,Left the Game,Treshaad Williams Entered the Game,,1 - 6:28,,,,
,,,27-26,1 - 6:01,1,Jamonte Graham,Three Point Made,
,,,,1 - 6:00,,Justin Pride,Assist,
Treshaad Williams,Field Goal Attempt,,,1 - 5:55,,,,Jamontae Davis Defensive Rebound
,,,,1 - 5:48,,Justin Pride,Field Goal Attempt,Immanuel Griggs Offensive Rebound
,,,27-28,1 - 5:46,-1 (L14),Immanuel Griggs,Field Goal Made,
Xavier Moon,Three Point Attempt,Treshaad Williams Offensive Rebound,,1 - 5:18,,,,
Treshaad Williams,Field Goal Made,,29-28,1 - 5:14,1 (L15),,,
,,,,1 - 4:57,,Immanuel Griggs,Field Goal Attempt,Jamontae Davis Offensive Rebound
,,NW Florida Defensive Rebound,,1 - 4:53,,Jamontae Davis,Field Goal Attempt,
Xavier Moon,Left the Game,Jalen Jackson Entered the Game,,1 - 4:51,,,,
Jalen Jackson,Field Goal Made,,31-28,1 - 4:33,3,,,
Keith Charleston,Jump Ball Won,,,1 - 4:14,,,,
,,,,1 - 4:13,,Justin Pride,Turnover,
Jalen Jackson,Steal,,,1 - 4:12,,,,
Benji Bell,Field Goal Made,,33-28,1 - 4:10,5,,,
Jalen Jackson,Assist,,,1 - 4:09,,,,
,,,,1 - 4:02,,Jamonte Graham,Three Point Attempt,Jamonte Graham Offensive Rebound
,,,33-30,1 - 3:52,3,Immanuel Griggs,Field Goal Made,
Brandon Austin,Three Point Attempt,Keith Charleston Offensive Rebound,,1 - 3:34,,,,
Jalen Jackson,Field Goal Attempt,,,1 - 3:29,,,,Immanuel Griggs Defensive Rebound
,,,,1 - 3:06,,Jamonte Graham,Turnover,
Treshaad Williams,Steal,,,1 - 3:06,,,,
,,,,1 - 3:00,,Jamonte Graham,Defensive Foul,
Keith Charleston,Left the Game,William Pfister Entered the Game,,1 - 3:00,,,,
,,,,1 - 3:00,,Immanuel Griggs,Left the Game,Ramond Jenkins Entered the Game
Benji Bell,Free Throw Made,,34-30,1 - 3:00,4,,,
Benji Bell,Free Throw Made,,35-30,1 - 3:00,5,,,
Benji Bell,Defensive Foul,,,1 - 2:42,,,,
