Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
Jalen Jackson,Steal,,,1 - 10:15,,,,
Jalen Jackson,Offensive Foul,,,1 - 10:14,,,,
Jalen Jackson,Turnover,,,1 - 10:14,,,,
,,,,1 - 10:14,,Ammar Rehman,Left the Game,Tyler Chandler Entered the Game
Brandon Austin,Left the Game,Xavier Moon Entered the Game,,1 - 10:14,,,,
,,,22-22,1 - 10:02,(T4),Christopher Boucher,Three Point Made,
Benji Bell,Field Goal Attempt,Keith Charleston Offensive Rebound,,1 - 9:41,,,,
Keith Charleston,Field Goal Made,,24-22,1 - 9:38,2 (L11),,,
Benji Bell,Defensive Foul,,,1 - 9:27,,,,
,,,,1 - 9:27,,William Desilien,Left the Game,
,,,,1 - 9:27,,Dan Milota,Left the Game,Daryle Morgan Entered the Game
,,,,1 - 9:27,,Colin May,Entered the Game,
,,,,1 - 9:27,,William Desilien,Free Throw Attempt,NW College Offensive Rebound
,,,24-23,1 - 9:27,1,William Desilien,Free Throw Made,
Jalen Jackson,Turnover,,,1 - 9:05,,,,
,,,,1 - 9:04,,Christopher Boucher,Steal,
,,Xavier Moon Defensive Rebound,,1 - 8:51,,EJ Hubbard,Three Point Attempt,
Jalen Jackson,Turnover,,,1 - 8:40,,,,
,,,,1 - 8:40,,Tyler Chandler,Steal,
,,NW Florida Defensive Rebound,,1 - 8:23,,Colin May,Three Point Attempt,
Jalen Jackson,Left the Game,Brandon Austin Entered the Game,,1 - 8:23,,,,
Xavier Moon,Field Goal Made,,26-23,1 - 8:05,3,,,
,,Benji Bell Defensive Rebound,,1 - 7:44,,Daryle Morgan,Field Goal Attempt,
,,,,1 - 7:40,,Colin May,Defensive Foul,
,,,,1 - 7:40,,EJ Hubbard,Left the Game,William Desilien Entered the Game
Brandon Austin,Free Throw Made,,27-23,1 - 7:40,4,,,
Brandon Austin,Free Throw Made,,28-23,1 - 7:40,5,,,
Keith Charleston,Defensive Foul,,,1 - 7:28,,,,
,,,28-24,1 - 7:28,4,Christopher Boucher,Free Throw Made,
,,,28-25,1 - 7:28,3,Christopher Boucher,Free Throw Made,
Xavier Moon,Field Goal Made,,30-25,1 - 7:11,5,,,
,,,,1 - 6:41,,William Desilien,Field Goal Attempt,Christopher Boucher Offensive Rebound
,,Benji Bell Defensive Rebound,,1 - 6:38,,Christopher Boucher,Field Goal Attempt,
Brandon Austin,Three Point Attempt,,,1 - 6:30,,,,Christopher Boucher Defensive Rebound
,,,30-27,1 - 6:09,3,Christopher Boucher,Field Goal Made,
,,,,1 - 6:08,,Colin May,Assist,
Brandon Austin,Field Goal Attempt,Jordan Capps Offensive Rebound,,1 - 5:53,,,,
Jordan Capps,Field Goal Attempt,,,1 - 5:51,,,,
,,,,1 - 5:50,,Daryle Morgan,Blocked shot,
,,,,1 - 5:50,,Daryle Morgan,Defensive Rebound,
Benji Bell,Defensive Foul,,,1 - 5:50,,,,
Keith Charleston,Left the Game,,,1 - 5:50,,,,
Jordan Capps,Left the Game,Treshaad Williams Entered the Game,,1 - 5:50,,,,
William Pfister,Entered the Game,,,1 - 5:50,,,,
,,,,1 - 5:50,,Daryle Morgan,Free Throw Attempt,NW College Offensive Rebound
,,,30-28,1 - 5:50,2,Daryle Morgan,Free Throw Made,
Benji Bell,Three Point Made,,33-28,1 - 5:39,5,,,
Brandon Austin,Defensive Foul,,,1 - 5:30,,,,
,,,33-29,1 - 5:30,4,Daryle Morgan,Free Throw Made,
,,,33-30,1 - 5:30,3,Daryle Morgan,Free Throw Made,
Brandon Austin,Field Goal Attempt,,,1 - 5:22,,,,William Desilien Defensive Rebound
,,,,1 - 5:12,,William Desilien,Three Point Attempt,Christopher Boucher Offensive Rebound
,,Treshaad Williams Defensive Rebound,,1 - 5:09,,Christopher Boucher,Field Goal Attempt,
,,,,1 - 5:01,,Tyler Chandler,Defensive Foul,
,,,,1 - 5:01,,Tyler Chandler,Left the Game,EJ Hubbard Entered the Game
Benji Bell,Free Throw Attempt,NW Florida Offensive Rebound,,1 - 5:01,,,,
Benji Bell,Free Throw Made,,34-30,1 - 5:01,4,,,
,,,34-32,1 - 4:47,2,Christopher Boucher,Field Goal Made,
,,,,1 - 4:46,,William Desilien,Assist,
Brandon Austin,Field Goal Made,,36-32,1 - 4:40,4,,,
,,,,1 - 4:40,,Christopher Boucher,Defensive Foul,
Brandon Austin,Free Throw Made,,37-32,1 - 4:40,5,,,
,,,,1 - 4:26,,EJ Hubbard,Turnover,
William Pfister,Steal,,,1 - 4:25,,,,
Treshaad Williams,Field Goal Made,,39-32,1 - 4:22,7,,,
Brandon Austin,Assist,,,1 - 4:21,,,,
Treshaad Williams,Defensive Foul,,,1 - 4:17,,,,
,,,39-33,1 - 4:17,6,William Desilien,Free Throw Made,
