Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
Donte` McGill,Assist,,,1 - 12:28,,,,
,,,,1 - 12:10,,Jordan Martin,Turnover,
,,,,1 - 12:10,,Justin Jones,Left the Game,Arell Hennings Entered the Game
Jantzen Goodwin,Three Point Attempt,,,1 - 11:53,,,,Cochise College Defensive Rebound
Donte` McGill,Left the Game,Mychal Mulder Entered the Game,,1 - 11:52,,,,
,,,24-21,1 - 11:38,3,Daniel Hernandez,Three Point Made,
Mychal Mulder,Three Point Attempt,,,1 - 11:19,,,,
,,,,1 - 11:17,,Daniel Hernandez,Blocked shot,
Nigel Holley,Offensive Rebound,,,1 - 11:16,,,,
Nigel Holley,Field Goal Made,,26-21,1 - 11:15,5,,,
,,,26-23,1 - 11:04,3,Emanuel Shepherd,Field Goal Made,
,,,,1 - 11:03,,Arell Hennings,Assist,
Keith Mack,Field Goal Made,,28-23,1 - 10:45,5,,,
Nigel Holley,Assist,,,1 - 10:44,,,,
,,,,1 - 10:36,,Daniel Hernandez,Field Goal Attempt,Emanuel Shepherd Offensive Rebound
,,,28-25,1 - 10:34,3,Emanuel Shepherd,Field Goal Made,
Keith Mack,Field Goal Attempt,,,1 - 10:22,,,,
,,,,1 - 10:22,,Emanuel Shepherd,Blocked shot,
Jantzen Goodwin,Left the Game,,,1 - 10:22,,,,
Nigel Holley,Left the Game,Everett Clemons Entered the Game,,1 - 10:22,,,,
A.J. Patty,Entered the Game,,,1 - 10:22,,,,
,,,,1 - 10:22,,Daniel Hernandez,Left the Game,
,,,,1 - 10:22,,DJ Blackmon,Left the Game,Jawan Stepney Entered the Game
,,,,1 - 10:22,,O`Shayne Reid,Entered the Game,
Charles Foster,Three Point Attempt,,,1 - 10:03,,,,Jawan Stepney Defensive Rebound
,,,28-27,1 - 9:36,1,Emanuel Shepherd,Field Goal Made,
Everett Clemons,Field Goal Attempt,,,1 - 9:20,,,,Arell Hennings Defensive Rebound
Keith Mack,Left the Game,Makur Puou Entered the Game,,1 - 9:16,,,,
,,,,1 - 9:16,,Emanuel Shepherd,Left the Game,Jaben Garrett Entered the Game
,,A.J. Patty Defensive Rebound,,1 - 9:10,,Jordan Martin,Three Point Attempt,
A.J. Patty,Field Goal Made,,30-27,1 - 9:01,3,,,
Charles Foster,Assist,,,1 - 9:00,,,,
Everett Clemons,Defensive Foul,,,1 - 8:41,,,,
Everett Clemons,Left the Game,Donte` McGill Entered the Game,,1 - 8:41,,,,
,,,,1 - 8:41,,Jordan Martin,Left the Game,
,,,,1 - 8:41,,O`Shayne Reid,Left the Game,Daniel Hernandez Entered the Game
,,,,1 - 8:41,,Loic Jouve,Entered the Game,
,,A.J. Patty Defensive Rebound,,1 - 8:38,,Jawan Stepney,Field Goal Attempt,
Makur Puou,Field Goal Attempt,A.J. Patty Offensive Rebound,,1 - 8:18,,,,
A.J. Patty,Field Goal Attempt,,,1 - 8:14,,,,
,,,,1 - 8:13,,Loic Jouve,Blocked shot,
,,,,1 - 8:12,,Arell Hennings,Defensive Rebound,
,,,,1 - 8:09,,Arell Hennings,Three Point Attempt,Loic Jouve Offensive Rebound
,,Makur Puou Defensive Rebound,,1 - 7:40,,Jaben Garrett,Field Goal Attempt,
,,,,1 - 7:32,,Jaben Garrett,Defensive Foul,
,,,,1 - 7:28,,Jaben Garrett,Left the Game,Emanuel Shepherd Entered the Game
,,,,1 - 7:27,,Jawan Stepney,Defensive Foul,
A.J. Patty,Field Goal Attempt,,,1 - 7:27,,,,
,,,,1 - 7:27,,Emanuel Shepherd,Blocked shot,
,,,,1 - 7:27,,Emanuel Shepherd,Defensive Rebound,
,,,30-29,1 - 7:27,1,Emanuel Shepherd,Field Goal Made,
,,,,1 - 7:27,,Arell Hennings,Assist,
A.J. Patty,Field Goal Made,,32-29,1 - 7:27,3,,,
Charles Foster,Assist,,,1 - 7:27,,,,
,,,,1 - 7:27,,Daniel Hernandez,Three Point Attempt,Jawan Stepney Offensive Rebound
,,,32-31,1 - 7:27,1,Jawan Stepney,Field Goal Made,
Donte` McGill,Three Point Made,,35-31,1 - 7:27,4,,,
Charles Foster,Assist,,,1 - 7:27,,,,
,,Mychal Mulder Defensive Rebound,,1 - 7:27,,Arell Hennings,Three Point Attempt,
Donte` McGill,Field Goal Made,,37-31,1 - 7:26,6,,,
,,,,1 - 6:05,,Arell Hennings,Left the Game,
,,,,1 - 6:05,,Jawan Stepney,Left the Game,
,,,,1 - 6:05,,Daniel Hernandez,Left the Game,
,,,,1 - 6:05,,Emanuel Shepherd,Left the Game,
,,,,1 - 6:05,,Loic Jouve,Left the Game,
Donte` McGill,Left the Game,,,1 - 6:05,,,,
Charles Foster,Left the Game,,,1 - 6:05,,,,
Makur Puou,Left the Game,,,1 - 6:05,,,,
A.J. Patty,Left the Game,,,1 - 6:05,,,,
Mychal Mulder,Left the Game,,,1 - 6:05,,,,
,,,,1 - 6:05,,Loic Jouve,Entered the Game,
,,,,1 - 6:05,,Arell Hennings,Entered the Game,
,,,,1 - 6:05,,Justin Jones,Entered the Game,
,,,,1 - 6:05,,Daniel Hernandez,Entered the Game,
,,,,1 - 6:05,,Emanuel Shepherd,Entered the Game,
Charles Foster,Entered the Game,,,1 - 6:05,,,,
Mychal Mulder,Entered the Game,,,1 - 6:05,,,,
Keith Mack,Entered the Game,,,1 - 6:05,,,,
A.J. Patty,Entered the Game,,,1 - 6:05,,,,
,,,,1 - 6:05,,Daniel Hernandez,Three Point Attempt,Justin Jones Offensive Rebound
,,,37-33,1 - 6:05,4,Justin Jones,Field Goal Made,
Donte` McGill,Entered the Game,,,1 - 6:05,,,,
Keith Mack,Turnover,,,1 - 5:38,,,,
,,,,1 - 5:38,,Daniel Hernandez,Left the Game,
,,,,1 - 5:38,,Loic Jouve,Left the Game,Jordan Martin Entered the Game
,,,,1 - 5:38,,DJ Blackmon,Entered the Game,
,,,,1 - 5:21,,Justin Jones,Three Point Attempt,DJ Blackmon Offensive Rebound
,,Donte` McGill Defensive Rebound,,1 - 4:59,,Emanuel Shepherd,Field Goal Attempt,
A.J. Patty,Turnover,,,1 - 4:29,,,,
,,,,1 - 4:29,,DJ Blackmon,Steal,
,,A.J. Patty Defensive Rebound,,1 - 3:56,,Arell Hennings,Field Goal Attempt,
Charles Foster,Three Point Made,,40-33,1 - 3:42,7,,,
A.J. Patty,Assist,,,1 - 3:42,,,,
,,A.J. Patty Defensive Rebound,,1 - 3:13,,Emanuel Shepherd,Field Goal Attempt,
Keith Mack,Field Goal Attempt,,,1 - 3:04,,,,
,,,,1 - 3:03,,DJ Blackmon,Blocked shot,
,,,,1 - 3:01,,Emanuel Shepherd,Defensive Rebound,
,,Donte` McGill Defensive Rebound,,1 - 2:57,,Justin Jones,Three Point Attempt,
Mychal Mulder,Three Point Attempt,,,1 - 2:45,,,,Arell Hennings Defensive Rebound
A.J. Patty,Defensive Foul,,,1 - 2:41,,,,
A.J. Patty,Left the Game,Nigel Holley Entered the Game,,1 - 2:41,,,,
,,,,1 - 2:41,,Emanuel Shepherd,Left the Game,
