Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
Keanu Pinder,Left the Game,Zach Winter Entered the Game,,1 - 12:10,,,,
Moataz Aly,Entered the Game,,,1 - 12:10,,,,
Moataz Aly,Field Goal Attempt,,,1 - 11:59,,,,
,,,,1 - 11:57,,Melvin Swift,Blocked shot,
Bashier Ahmed,Offensive Rebound,,,1 - 11:57,,,,
Bashier Ahmed,Turnover,,,1 - 11:55,,,,
,,,,1 - 11:54,,Dedrick Basile,Steal,
,,,,1 - 11:52,,Shelton Hagigal,Three Point Attempt,Melvin Swift Offensive Rebound
,,,,1 - 11:42,,Shelton Hagigal,Three Point Attempt,Melvin Swift Offensive Rebound
,,Moataz Aly Defensive Rebound,,1 - 11:34,,Devante Jackson,Field Goal Attempt,
Moataz Aly,Turnover,,,1 - 11:11,,,,
,,,,1 - 11:11,,Shelton Hagigal,Left the Game,Dilepso Blanco Entered the Game
Bashier Ahmed,Left the Game,Che Bob Entered the Game,,1 - 11:11,,,,
,,DeShawn Freeman Defensive Rebound,,1 - 10:56,,Dedrick Basile,Three Point Attempt,
,,,,1 - 10:47,,Dilepso Blanco,Defensive Foul,
,,,,1 - 10:47,,Devante Jackson,Left the Game,Clarence Williams Entered the Game
Che Bob,Field Goal Made,,14-8,1 - 10:34,6,,,
,,,,1 - 10:34,,Jhaustin Thomas,Defensive Foul,
Che Bob,Free Throw Attempt,,,1 - 10:34,,,,Melvin Swift Defensive Rebound
DeShawn Freeman,Defensive Foul,,,1 - 10:20,,,,
,,,,1 - 10:20,,Melvin Swift,Left the Game,
,,,,1 - 10:20,,Dedrick Basile,Left the Game,Preston Anderson Entered the Game
,,,,1 - 10:20,,Aldonis foote,Entered the Game,
,,,14-9,1 - 10:20,5,Jhaustin Thomas,Free Throw Made,
,,DeShawn Freeman Defensive Rebound,,1 - 10:20,,Jhaustin Thomas,Free Throw Attempt,
Akbar Hoffman,Three Point Attempt,HCC Offensive Rebound,,1 - 9:54,,,,
,,,,1 - 9:54,,Jhaustin Thomas,Left the Game,Nicholai Brown Entered the Game
Moataz Aly,Left the Game,Keanu Pinder Entered the Game,,1 - 9:54,,,,
Keanu Pinder,Field Goal Attempt,,,1 - 9:45,,,,Trinity Valley Defensive Rebound
,,,,1 - 9:44,,Dilepso Blanco,Left the Game,
,,,,1 - 9:44,,Preston Anderson,Left the Game,Dedrick Basile Entered the Game
,,,,1 - 9:44,,Shelton Hagigal,Entered the Game,
