Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
,,,17-14,1 - 12:36,3,Devocio Butler,Free Throw Made,
,,,17-15,1 - 12:36,2,Devocio Butler,Free Throw Made,
Jerron Martin,Field Goal Attempt,,,1 - 12:22,,,,Jemerrio Jones Defensive Rebound
,,,17-17,1 - 12:13,(T4),Jemerrio Jones,Field Goal Made,
,,,,1 - 12:13,,Marcus Johnson Jr.,Assist,
Marlon Jones,Field Goal Attempt,,,1 - 12:03,,,,Stefan Zecevic Defensive Rebound
,,,17-20,1 - 11:54,-3 (L5),Tyrell Bellot-Green,Three Point Made,
,,,,1 - 11:53,,Devocio Butler,Assist,
,,,,1 - 11:36,,Jemerrio Jones,Defensive Foul,
,,,,1 - 11:36,,Stefan Zecevic,Left the Game,Evan Moorman Entered the Game
Marlon Jones,Free Throw Made,,18-20,1 - 11:36,-2,,,
Marlon Jones,Free Throw Made,,19-20,1 - 11:36,-1,,,
,,,19-23,1 - 11:21,-4,Marcus Johnson Jr.,Three Point Made,
,,,,1 - 11:21,,Devocio Butler,Assist,
Jerron Martin,Three Point Attempt,,,1 - 11:05,,,,Hill College Defensive Rebound
Marlon Jones,Defensive Foul,,,1 - 11:05,,,,
Brandon Neel,Left the Game,,,1 - 11:05,,,,
Marlon Jones,Left the Game,Pat Birt Entered the Game,,1 - 11:05,,,,
Emmanuel Omogbo,Entered the Game,,,1 - 11:05,,,,
Jerron Martin,Defensive Foul,,,1 - 10:51,,,,
,,,,1 - 10:51,,Tyrell Bellot-Green,Left the Game,
,,,,1 - 10:42,,Marcus Johnson Jr.,Three Point Attempt,Hill College Offensive Rebound
Andre Horne,Defensive Foul,,,1 - 10:40,,,,
,,,,1 - 10:37,,Ke`von Rice,Offensive Foul,
,,,,1 - 10:37,,Ke`von Rice,Turnover,
Andre Horne,Three Point Made,,22-23,1 - 10:15,-1,,,
,,Pat Birt Defensive Rebound,,1 - 10:07,,Evan Moorman,Three Point Attempt,
Pat Birt,Three Point Attempt,,,1 - 9:59,,,,Evan Moorman Defensive Rebound
Pat Birt,Defensive Foul,,,1 - 9:54,,,,
Jerron Martin,Left the Game,Diamante Langston Entered the Game,,1 - 9:54,,,,
