Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
,,,,1 - 11:16,,Andre Horne,Assist,
,,,,1 - 11:02,,Marlon Jones,Defensive Foul,
,,,,1 - 11:02,,Marlon Jones,Left the Game,Brandon Neel Entered the Game
Devin Simms,Field Goal Made,,16-23,1 - 11:01,-7,,,
Corlbe Evin,Assist,,,1 - 11:00,,,,
Damari Edwards,Defensive Foul,,,1 - 10:50,,,,
,,,,1 - 10:38,,Jerron Martin,Three Point Attempt,South Plains Offensive Rebound
Phabian Glasco,Defensive Foul,,,1 - 10:38,,,,
,,,,1 - 10:33,,Emmanuel Omogbo,Field Goal Attempt,Brandon Neel Offensive Rebound
,,,16-25,1 - 10:30,-9,Brandon Neel,Field Goal Made,
Phabian Glasco,Field Goal Attempt,Devin Simms Offensive Rebound,,1 - 10:13,,,,
,,,,1 - 10:11,,Jerron Martin,Defensive Foul,
Damari Edwards,Three Point Attempt,,,1 - 10:10,,,,Pat Birt Defensive Rebound
,,,16-28,1 - 10:03,-12,Andre Horne,Three Point Made,
,,,,1 - 10:02,,Jerron Martin,Assist,
Damari Edwards,Field Goal Attempt,Damari Edwards Offensive Rebound,,1 - 9:36,,,,
Arlando Cook,Field Goal Made,,18-28,1 - 9:26,-10,,,
Corlbe Evin,Assist,,,1 - 9:26,,,,
,,Arlando Cook Defensive Rebound,,1 - 9:02,,Andre Horne,Three Point Attempt,
Corlbe Evin,Three Point Made,,21-28,1 - 8:41,-7,,,
Devin Simms,Assist,,,1 - 8:40,,,,
,,,21-30,1 - 8:22,-9,Pat Birt,Field Goal Made,
Arlando Cook,Field Goal Attempt,,,1 - 7:58,,,,Emmanuel Omogbo Defensive Rebound
,,Corlbe Evin Defensive Rebound,,1 - 7:36,,Andre Horne,Three Point Attempt,
Corlbe Evin,Field Goal Made,,23-30,1 - 7:27,-7,,,
,,Arlando Cook Defensive Rebound,,1 - 7:10,,Emmanuel Omogbo,Field Goal Attempt,
,,,,1 - 7:04,,Andre Horne,Defensive Foul,
,,,,1 - 7:04,,Jerron Martin,Left the Game,
,,,,1 - 7:04,,Emmanuel Omogbo,Left the Game,
,,,,1 - 7:04,,Andre Horne,Left the Game,Andre Spight Entered the Game
,,,,1 - 7:04,,David Kadiri,Entered the Game,
,,,,1 - 7:04,,Diamante Langston,Entered the Game,
,,,,1 - 6:51,,David Kadiri,Defensive Foul,
Arlando Cook,Left the Game,,,1 - 6:51,,,,
Corlbe Evin,Left the Game,,,1 - 6:51,,,,
Damari Edwards,Left the Game,,,1 - 6:51,,,,
Phabian Glasco,Left the Game,,,1 - 6:51,,,,
Devin Simms,Left the Game,Ronnie Boyce Entered the Game,,1 - 6:51,,,,
Phabian Glasco,Entered the Game,,,1 - 6:51,,,,
Devin Simms,Entered the Game,,,1 - 6:51,,,,
Arlando Cook,Entered the Game,,,1 - 6:51,,,,
Corlbe Evin,Entered the Game,,,1 - 6:51,,,,
,,,,1 - 6:51,,Diamante Langston,Left the Game,Marlon Jones Entered the Game
,,,,1 - 6:51,,Marlon Jones,Left the Game,Lincoln Davis Entered the Game
Arlando Cook,Field Goal Made,,25-30,1 - 6:47,-5,,,
Corlbe Evin,Assist,,,1 - 6:47,,,,
,,,,1 - 6:30,,Brandon Neel,Field Goal Attempt,David Kadiri Offensive Rebound
,,,,1 - 6:26,,Brandon Neel,Left the Game,Emmanuel Omogbo Entered the Game
,,,25-33,1 - 6:12,-8,Pat Birt,Three Point Made,
Devin Simms,Turnover,,,1 - 5:53,,,,
,,,,1 - 5:39,,Pat Birt,Field Goal Attempt,Emmanuel Omogbo Offensive Rebound
,,,,1 - 5:35,,Emmanuel Omogbo,Turnover,
Devin Simms,Steal,,,1 - 5:34,,,,
,,,,1 - 5:34,,Andre Spight,Defensive Foul,
Corlbe Evin,Free Throw Attempt,Connors State Offensive Rebound,,1 - 5:34,,,,
Corlbe Evin,Free Throw Made,,26-33,1 - 5:34,-7,,,
,,Ronnie Boyce Defensive Rebound,,1 - 5:14,,Lincoln Davis,Field Goal Attempt,
Ronnie Boyce,Three Point Attempt,Ronnie Boyce Offensive Rebound,,1 - 5:07,,,,
Devin Simms,Field Goal Attempt,,,1 - 5:01,,,,David Kadiri Defensive Rebound
,,,,1 - 4:53,,Andre Spight,Three Point Attempt,Pat Birt Offensive Rebound
