Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
Clarence Williams,Field Goal Attempt,,,1 - 11:09,,,,Jaylen Benton Defensive Rebound
Dedrick Basile,Defensive Foul,,,1 - 11:08,,,,
Dedrick Basile,Left the Game,Dilepso Blanco Entered the Game,,1 - 11:08,,,,
,,,14-28,1 - 10:54,-14,Ran Tut,Three Point Made,
,,,,1 - 10:53,,Will Tavares,Assist,
Dilepso Blanco,Three Point Attempt,,,1 - 10:34,,,,Ran Tut Defensive Rebound
Preston Anderson,Defensive Foul,,,1 - 10:11,,,,
,,,,1 - 10:11,,Will Tavares,Left the Game,Thomas Rivera Entered the Game
Preston Anderson,Left the Game,Aldonis foote Entered the Game,,1 - 10:11,,,,
Clarence Williams,Left the Game,Shelton Hagigal Entered the Game,,1 - 10:11,,,,
,,,14-31,1 - 9:54,-17,Jaylen Benton,Three Point Made,
,,,,1 - 9:54,,Thomas Rivera,Assist,
Aldonis foote,Turnover,,,1 - 9:41,,,,
Melvin Swift,Left the Game,Preston Anderson Entered the Game,,1 - 9:40,,,,
Shelton Hagigal,Defensive Foul,,,1 - 9:28,,,,
Dilepso Blanco,Left the Game,Dedrick Basile Entered the Game,,1 - 9:28,,,,
,,Aldonis foote Defensive Rebound,,1 - 9:28,,Joel Angus III,Free Throw Attempt,
,,,,1 - 9:17,,Shackquiel Scott,Defensive Foul,
Jhaustin Thomas,Field Goal Attempt,,,1 - 9:17,,,,
,,,,1 - 9:17,,Thomas Rivera,Blocked shot,
Shelton Hagigal,Offensive Rebound,,,1 - 9:17,,,,
Shelton Hagigal,Three Point Made,,17-31,1 - 9:17,-14,,,
,,,,1 - 9:17,,Jaylen Benton,Turnover,
Preston Anderson,Steal,,,1 - 9:17,,,,
Preston Anderson,Field Goal Made,,19-31,1 - 9:17,-12,,,
,,,,1 - 8:57,,Ran Tut,Field Goal Attempt,Joel Angus III Offensive Rebound
,,,,1 - 8:56,,Joel Angus III,Field Goal Attempt,
Jhaustin Thomas,Blocked shot,,,1 - 8:55,,,,
,,,,1 - 8:54,,Joel Angus III,Offensive Rebound,
,,,,1 - 8:51,,Jaylen Benton,Turnover,
Aldonis foote,Steal,,,1 - 8:50,,,,
Shelton Hagigal,Field Goal Attempt,Jhaustin Thomas Offensive Rebound,,1 - 8:30,,,,
Jhaustin Thomas,Field Goal Attempt,,,1 - 8:26,,,,
,,,,1 - 8:25,,Ran Tut,Blocked shot,
,,,,1 - 8:24,,Jaylen Benton,Defensive Rebound,
,,,,1 - 7:59,,Thomas Rivera,Field Goal Attempt,
Preston Anderson,Blocked shot,,,1 - 7:59,,,,
,,,,1 - 7:53,,Jaylen Benton,Left the Game,Will Tavares Entered the Game
Jhaustin Thomas,Left the Game,Nicholai Brown Entered the Game,,1 - 7:53,,,,
,,,,1 - 7:40,,Ran Tut,Defensive Foul,
Preston Anderson,Left the Game,Clarence Williams Entered the Game,,1 - 7:40,,,,
Nicholai Brown,Free Throw Made,,20-31,1 - 7:40,-11,,,
Nicholai Brown,Free Throw Made,,21-31,1 - 7:40,-10,,,
,,,,1 - 7:39,,Thomas Rivera,Turnover,
Shelton Hagigal,Steal,,,1 - 7:38,,,,
Dedrick Basile,Three Point Made,,24-31,1 - 7:25,-7,,,
Shelton Hagigal,Assist,,,1 - 7:24,,,,
,,,,1 - 7:08,,Thomas Rivera,Turnover,
Aldonis foote,Steal,,,1 - 7:07,,,,
Dedrick Basile,Three Point Attempt,Nicholai Brown Offensive Rebound,,1 - 6:51,,,,
Nicholai Brown,Field Goal Attempt,,,1 - 6:49,,,,Ran Tut Defensive Rebound
,,,24-33,1 - 6:21,-9,Shackquiel Scott,Field Goal Made,
,,,,1 - 6:20,,Ran Tut,Assist,
Clarence Williams,Field Goal Attempt,,,1 - 6:02,,,,Monroe College Defensive Rebound
Dedrick Basile,Defensive Foul,,,1 - 5:41,,,,
Dedrick Basile,Left the Game,Dilepso Blanco Entered the Game,,1 - 5:41,,,,
,,,,1 - 5:41,,Thomas Rivera,Left the Game,Lawahn Lewis Entered the Game
,,,24-34,1 - 5:41,-10,Will Tavares,Free Throw Made,
,,,24-35,1 - 5:41,-11,Will Tavares,Free Throw Made,
,,,,1 - 5:26,,Shackquiel Scott,Defensive Foul,
Clarence Williams,Left the Game,,,1 - 5:26,,,,
Aldonis foote,Left the Game,Melvin Swift Entered the Game,,1 - 5:26,,,,
Devante Jackson,Entered the Game,,,1 - 5:26,,,,
,,,,1 - 5:26,,Shackquiel Scott,Left the Game,Lukas Landgren Entered the Game
Clarence Williams,Free Throw Attempt,Trinity Valley Offensive Rebound,,1 - 5:26,,,,
Clarence Williams,Free Throw Made,,25-35,1 - 5:26,-10,,,
,,Shelton Hagigal Defensive Rebound,,1 - 5:15,,Ran Tut,Field Goal Attempt,
Shelton Hagigal,Field Goal Made,,27-35,1 - 5:08,-8,,,
Devante Jackson,Defensive Foul,,,1 - 4:30,,,,
,,,,1 - 4:30,,Lawahn Lewis,Left the Game,
,,,,1 - 4:30,,Ran Tut,Left the Game,Thomas Rivera Entered the Game
,,,,1 - 4:30,,Shakeem Wilson,Entered the Game,
,,,,1 - 4:30,,Joel Angus III,Free Throw Attempt,Monroe College Offensive Rebound
,,Devante Jackson Defensive Rebound,,1 - 4:30,,Joel Angus III,Free Throw Attempt,
Shelton Hagigal,Three Point Attempt,,,1 - 4:13,,,,Joel Angus III Defensive Rebound
Dilepso Blanco,Defensive Foul,,,1 - 3:49,,,,
Nicholai Brown,Left the Game,,,1 - 3:49,,,,
Dilepso Blanco,Left the Game,Jhaustin Thomas Entered the Game,,1 - 3:49,,,,
Preston Anderson,Entered the Game,,,1 - 3:49,,,,
,,,,1 - 3:49,,Thomas Rivera,Free Throw Attempt,Monroe College Offensive Rebound
,,Preston Anderson Defensive Rebound,,1 - 3:49,,Thomas Rivera,Free Throw Attempt,
Jhaustin Thomas,Field Goal Attempt,,,1 - 3:29,,,,Lukas Landgren Defensive Rebound
,,,,1 - 3:19,,Thomas Rivera,Field Goal Attempt,
Jhaustin Thomas,Blocked shot,,,1 - 3:18,,,,
,,,,1 - 3:17,,Shakeem Wilson,Offensive Rebound,
,,,27-37,1 - 3:13,-10,Shakeem Wilson,Field Goal Made,
,,,,1 - 3:03,,Lukas Landgren,Defensive Foul,
Melvin Swift,Left the Game,Dilepso Blanco Entered the Game,,1 - 3:03,,,,
Jhaustin Thomas,Left the Game,Nicholai Brown Entered the Game,,1 - 3:03,,,,
Devante Jackson,Free Throw Made,,28-37,1 - 3:03,-9,,,
Devante Jackson,Free Throw Made,,29-37,1 - 3:03,-8,,,
,,,29-39,1 - 2:55,-10,Shakeem Wilson,Field Goal Made,
,,,,1 - 2:54,,Will Tavares,Assist,
Preston Anderson,Three Point Attempt,,,1 - 2:39,,,,Monroe College Defensive Rebound
Nicholai Brown,Left the Game,,,1 - 2:38,,,,
Dilepso Blanco,Left the Game,,,1 - 2:38,,,,
Shelton Hagigal,Left the Game,,,1 - 2:38,,,,
Preston Anderson,Left the Game,,,1 - 2:38,,,,
Devante Jackson,Left the Game,Nicholai Brown Entered the Game,,1 - 2:38,,,,
Clarence Williams,Entered the Game,,,1 - 2:38,,,,
Dilepso Blanco,Entered the Game,,,1 - 2:38,,,,
Melvin Swift,Entered the Game,,,1 - 2:38,,,,
Shelton Hagigal,Entered the Game,,,1 - 2:38,,,,
