Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
,,,,1 - 14:57,,Taquan Givens,Left the Game,Doniel Dean Entered the Game
,,Travis House Defensive Rebound,,1 - 14:42,,Ty Toney,Field Goal Attempt,
Travis House,Three Point Attempt,,,1 - 14:32,,,,Donovan Harris Defensive Rebound
,,,6-9,1 - 14:27,-3,Ty Toney,Field Goal Made,
,,,,1 - 14:27,,Montrel Goldston,Assist,
Caelan Neal,Turnover,,,1 - 14:19,,,,
,,,,1 - 14:19,,Doniel Dean,Steal,
,,,6-11,1 - 14:00,-5,Donovan Harris,Field Goal Made,
,,,,1 - 14:00,,Paris Ballinger,Assist,
Kyle Steward,Left the Game,,,1 - 14:00,,,,
Caelan Neal,Left the Game,,,1 - 14:00,,,,
Damien Akao,Left the Game,,,1 - 14:00,,,,
Travis House,Left the Game,,,1 - 14:00,,,,
Lamar Wofford,Left the Game,,,1 - 14:00,,,,
,,,,1 - 14:00,,Doniel Dean,Left the Game,
,,,,1 - 14:00,,Montrel Goldston,Left the Game,
,,,,1 - 14:00,,Paris Ballinger,Left the Game,
,,,,1 - 14:00,,Donovan Harris,Left the Game,
,,,,1 - 14:00,,Ty Toney,Left the Game,
,,,,1 - 14:00,,Doniel Dean,Entered the Game,
,,,,1 - 14:00,,Montrel Goldston,Entered the Game,
,,,,1 - 14:00,,Denzel Council,Entered the Game,
,,,,1 - 14:00,,Terrence Thompson,Entered the Game,
,,,,1 - 14:00,,Ty Toney,Entered the Game,
Kyle Steward,Entered the Game,,,1 - 14:00,,,,
Lamar Wofford,Entered the Game,,,1 - 14:00,,,,
Travis House,Entered the Game,,,1 - 14:00,,,,
Derrick Byrd,Entered the Game,,,1 - 14:00,,,,
Jacolby Harris,Entered the Game,,,1 - 14:00,,,,
Kyle Steward,Field Goal Made,,8-11,1 - 13:51,-3,,,
Lamar Wofford,Assist,,,1 - 13:51,,,,
,,,,1 - 13:51,,Denzel Council,Defensive Foul,
,,,,1 - 13:51,,Doniel Dean,Left the Game,
,,,,1 - 13:51,,Montrel Goldston,Left the Game,
,,,,1 - 13:51,,Denzel Council,Left the Game,
,,,,1 - 13:51,,Terrence Thompson,Left the Game,
,,,,1 - 13:51,,Ty Toney,Left the Game,Terrence Thompson Entered the Game
,,,,1 - 13:51,,Doniel Dean,Entered the Game,
