Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
,,,,1 - 13:10,,Vercell Webster,Steal,
Akolda Manyang,Left the Game,,,1 - 13:10,,,,
Malik Dime,Left the Game,,,1 - 13:10,,,,
Gary Williams Jr.,Left the Game,,,1 - 13:10,,,,
Jordan Furlow,Left the Game,,,1 - 13:10,,,,
Louis Adams Jr.,Left the Game,,,1 - 13:10,,,,
,,,,1 - 13:10,,Jarvis Williams,Left the Game,
,,,,1 - 13:10,,Marcus Washington,Left the Game,
,,,,1 - 13:10,,Torlorf Thomas,Left the Game,
,,,,1 - 13:10,,Dietrich Taylor,Left the Game,
,,,,1 - 13:10,,Vercell Webster,Left the Game,
Akolda Manyang,Entered the Game,,,1 - 13:10,,,,
Akolda Manyang,Left the Game,Gary Williams Jr. Entered the Game,,1 - 13:10,,,,
Jordan Furlow,Entered the Game,,,1 - 13:10,,,,
Akolda Manyang,Entered the Game,,,1 - 13:10,,,,
Malik Dime,Entered the Game,,,1 - 13:10,,,,
Louis Adams Jr.,Entered the Game,,,1 - 13:10,,,,
,,,,1 - 13:10,,Jarvis Williams,Entered the Game,
,,,,1 - 13:10,,Marcus Washington,Entered the Game,
,,,,1 - 13:10,,Torlorf Thomas,Entered the Game,
,,,,1 - 13:10,,Dietrich Taylor,Entered the Game,
,,,,1 - 13:10,,Vercell Webster,Entered the Game,
,,,17-14,1 - 12:53,3,Jarvis Williams,Three Point Made,
Jordan Furlow,Turnover,,,1 - 12:40,,,,
Louis Adams Jr.,Left the Game,Jerrelle DeBerry Entered the Game,,1 - 12:40,,,,
,,,17-17,1 - 12:29,(T6),Torlorf Thomas,Three Point Made,
,,,,1 - 12:28,,Jarvis Williams,Assist,
Jordan Furlow,Turnover,,,1 - 12:17,,,,
,,,,1 - 12:17,,Marcus Washington,Steal,
,,Jerrelle DeBerry Defensive Rebound,,1 - 12:06,,Jarvis Williams,Three Point Attempt,
Gary Williams Jr.,Field Goal Made,,19-17,1 - 11:56,2 (L7),,,
,,,19-19,1 - 11:37,(T7),Marcus Washington,Field Goal Made,
,,,,1 - 11:35,,Jarvis Williams,Assist,
Gary Williams Jr.,Field Goal Attempt,,,1 - 11:26,,,,Holmes CC Defensive Rebound
Akolda Manyang,Defensive Foul,,,1 - 11:26,,,,
