Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
Freddy Bitondo,Left the Game,,,1 - 12:46,,,,
Jalen Norman,Left the Game,Anthony Vidure Entered the Game,,1 - 12:46,,,,
Greg Tucker,Entered the Game,,,1 - 12:46,,,,
Jamal McDowell,Entered the Game,,,1 - 12:46,,,,
Randy Holmes,Entered the Game,,,1 - 12:46,,,,
Jalen Norman,Entered the Game,,,1 - 12:46,,,,
Greg Tucker,Field Goal Attempt,,,1 - 12:43,,,,
,,,,1 - 12:42,,Devocio Butler,Blocked shot,
Greg Tucker,Three Point Attempt,,,1 - 12:29,,,,Coris Williams Jr. Defensive Rebound
,,,11-20,1 - 12:13,-9,Evan Moorman,Three Point Made,
,,,,1 - 12:12,,Coris Williams Jr.,Assist,
Anthony Vidure,Three Point Made,,14-20,1 - 12:02,-6,,,
,,,,1 - 11:56,,Devocio Butler,Turnover,
Jalen Norman,Steal,,,1 - 11:54,,,,
Randy Holmes,Turnover,,,1 - 11:40,,,,
,,,,1 - 11:39,,Marcus Johnson Jr.,Steal,
,,,14-23,1 - 11:35,-9,Evan Moorman,Three Point Made,
Randy Holmes,Field Goal Made,,16-23,1 - 11:16,-7,,,
Jalen Norman,Assist,,,1 - 11:16,,,,
,,,,1 - 11:32,,Evan Moorman,Left the Game,Tyrell Bellot-Green Entered the Game
,,,,1 - 11:15,,Tyrell Bellot-Green,Defensive Foul,
,,,,1 - 11:32,,Tyrell Bellot-Green,Left the Game,
,,,,1 - 11:32,,Marcus Johnson Jr.,Left the Game,
,,,,1 - 11:32,,Coris Williams Jr.,Left the Game,
,,,,1 - 11:32,,Jemerrio Jones,Left the Game,
,,,,1 - 11:32,,Devocio Butler,Left the Game,Evan Moorman Entered the Game
,,,,1 - 11:15,,Tyrell Bellot-Green,Entered the Game,
Randy Holmes,Free Throw Attempt,,,1 - 11:15,,,,Evan Moorman Defensive Rebound
,,,,1 - 11:15,,Marcus Johnson Jr.,Entered the Game,
,,,,1 - 11:15,,Jemerrio Jones,Entered the Game,
,,,,1 - 11:15,,Devocio Butler,Entered the Game,
,,,,1 - 10:54,,Devocio Butler,Three Point Attempt,Tyrell Bellot-Green Offensive Rebound
,,,16-25,1 - 10:51,-9,Tyrell Bellot-Green,Field Goal Made,
Jamal McDowell,Turnover,,,1 - 10:28,,,,
