Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
Ammar Rehman,Free Throw Made,,17-10,1 - 12:28,7,,,
,,,,1 - 12:15,,TJ Evans,Field Goal Attempt,
Christopher Boucher,Blocked shot,,,1 - 12:13,,,,
Christopher Boucher,Defensive Rebound,,,1 - 12:13,,,,
Dan Milota,Field Goal Made,,19-10,1 - 11:58,9,,,
Ammar Rehman,Assist,,,1 - 11:58,,,,
,,,19-12,1 - 11:43,7,TJ Evans,Field Goal Made,
Dan Milota,Offensive Foul,,,1 - 11:37,,,,
Dan Milota,Turnover,,,1 - 11:37,,,,
Dan Milota,Left the Game,Daryle Morgan Entered the Game,,1 - 11:37,,,,
,,William Desilien Defensive Rebound,,1 - 11:25,,TJ Evans,Three Point Attempt,
William Desilien,Field Goal Attempt,,,1 - 11:16,,,,
,,,,1 - 11:15,,TJ Evans,Blocked shot,
,,,,1 - 11:15,,Calvin Davis,Defensive Rebound,
,,,,1 - 11:15,,Calvin Davis,Jump Ball Won,
William Desilien,Left the Game,Colin May Entered the Game,,1 - 11:15,,,,
,,,,1 - 11:05,,Calvin Davis,Field Goal Attempt,
Christopher Boucher,Blocked shot,,,1 - 11:02,,,,
Ammar Rehman,Defensive Rebound,,,1 - 11:00,,,,
Tyler Chandler,Three Point Attempt,,,1 - 10:58,,,,Cape Fear CC Defensive Rebound
,,Christopher Boucher Defensive Rebound,,1 - 10:39,,Travis Barnes,Field Goal Attempt,
Ammar Rehman,Field Goal Made,,21-12,1 - 10:25,9,,,
,,,21-14,1 - 10:07,7,Calvin Davis,Field Goal Made,
Colin May,Offensive Foul,,,1 - 9:57,,,,
Colin May,Turnover,,,1 - 9:57,,,,
,,,,1 - 9:57,,TJ Evans,Left the Game,
,,,,1 - 9:57,,Travis Barnes,Left the Game,Anthony Vanhook Entered the Game
,,,,1 - 9:57,,Matt Lindsey,Entered the Game,
,,,,1 - 9:42,,Anthony Vanhook,Field Goal Attempt,
Christopher Boucher,Blocked shot,,,1 - 9:42,,,,
,,,,1 - 9:37,,Calvin Davis,Turnover,
Daryle Morgan,Steal,,,1 - 9:36,,,,
,,,,1 - 9:27,,Matt Lindsey,Defensive Foul,
Christopher Boucher,Left the Game,EJ Hubbard Entered the Game,,1 - 9:27,,,,
