Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
,,,,1 - 10:14,,Faith Pope,Defensive Foul,
Devin Simms,Free Throw Made,,17-18,1 - 10:14,-1,,,
Devin Simms,Free Throw Made,,18-18,1 - 10:14,(T8),,,
,,,,1 - 10:06,,John Paul,Left the Game,Ikenna Okwarabizie Entered the Game
Phabian Glasco,Defensive Foul,,,1 - 10:06,,,,
,,,,1 - 10:06,,Ronnie Stacy,Left the Game,Dominique Shaw Entered the Game
,,,18-20,1 - 9:55,-2 (L9),Ikenna Okwarabizie,Field Goal Made,
Arlando Cook,Field Goal Made,,20-20,1 - 9:35,(T9),,,
Ronnie Boyce,Assist,,,1 - 9:35,,,,
Damari Edwards,Defensive Foul,,,1 - 9:25,,,,
,,,,1 - 9:25,,Darryl Stewart,Free Throw Attempt,Tyler Offensive Rebound
,,Phabian Glasco Defensive Rebound,,1 - 9:25,,Darryl Stewart,Free Throw Attempt,
Arlando Cook,Field Goal Made,,22-20,1 - 9:16,2 (L10),,,
Damari Edwards,Assist,,,1 - 9:16,,,,
,,Arlando Cook Defensive Rebound,,1 - 9:02,,Ikenna Okwarabizie,Field Goal Attempt,
Ronnie Boyce,Field Goal Made,,24-20,1 - 8:52,4,,,
,,,,1 - 8:38,,Dominique Shaw,Turnover,
,,,,1 - 8:38,,Darryl Stewart,Left the Game,Ronnie Stacy Entered the Game
Phabian Glasco,Left the Game,Erick Broadnax Entered the Game,,1 - 8:38,,,,
Damari Edwards,Three Point Attempt,,,1 - 8:21,,,,Tyler Miller Defensive Rebound
,,Arlando Cook Defensive Rebound,,1 - 8:04,,Faith Pope,Field Goal Attempt,
,,,,1 - 7:55,,Tyler Miller,Defensive Foul,
Damari Edwards,Turnover,,,1 - 7:53,,,,
,,,,1 - 7:53,,Ronnie Stacy,Steal,
,,,24-22,1 - 7:49,2,Dominique Shaw,Field Goal Made,
,,,,1 - 7:49,,Ronnie Stacy,Assist,
,,,,1 - 7:41,,Tyler Miller,Defensive Foul,
,,,,1 - 7:41,,Tyler Miller,Left the Game,Levi Yancy Entered the Game
Devin Simms,Free Throw Made,,25-22,1 - 7:41,3,,,
Devin Simms,Free Throw Made,,26-22,1 - 7:41,4,,,
Devin Simms,Defensive Foul,,,1 - 7:23,,,,
Ronnie Boyce,Left the Game,Kayshaune Spencer Entered the Game,,1 - 7:23,,,,
,,,26-23,1 - 7:23,3,Dominique Shaw,Free Throw Made,
,,,26-24,1 - 7:23,2,Dominique Shaw,Free Throw Made,
Devin Simms,Turnover,,,1 - 7:15,,,,
