Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
,,Keith Charleston Defensive Rebound,,1 - 11:32,,Donovan Harris,Field Goal Attempt,
Benji Bell,Field Goal Attempt,,,1 - 11:24,,,,Georgia Highlands Defensive Rebound
,,,,1 - 11:16,,Paris Ballinger,Turnover,
Jalen Jackson,Steal,,,1 - 11:14,,,,
Jalen Jackson,Field Goal Attempt,,,1 - 11:11,,,,Taquan Givens Defensive Rebound
,,,,1 - 11:06,,Taquan Givens,Turnover,
Keith Charleston,Steal,,,1 - 11:04,,,,
Benji Bell,Three Point Attempt,,,1 - 10:56,,,,Taquan Givens Defensive Rebound
,,,16-13,1 - 10:50,3,Ty Toney,Field Goal Made,
,,,,1 - 10:49,,Taquan Givens,Assist,
,,,,1 - 10:48,,Paris Ballinger,Left the Game,Montrel Goldston Entered the Game
,,,,1 - 10:48,,Donovan Harris,Left the Game,
Treshaad Williams,Left the Game,Jordan Capps Entered the Game,,1 - 10:48,,,,
,,,,1 - 10:48,,Donovan Harris,Entered the Game,
,,,,1 - 10:48,,Terrence Thompson,Left the Game,Doniel Dean Entered the Game
Benji Bell,Three Point Attempt,,,1 - 10:31,,,,Montrel Goldston Defensive Rebound
,,,,1 - 10:15,,Donovan Harris,Turnover,
Jalen Jackson,Steal,,,1 - 10:13,,,,
,,,,1 - 10:13,,Ty Toney,Defensive Foul,
Benji Bell,Free Throw Attempt,NW Florida Offensive Rebound,,1 - 10:13,,,,
Benji Bell,Free Throw Attempt,,,1 - 10:13,,,,Denzel Council Defensive Rebound
,,,,1 - 10:13,,Montrel Goldston,Left the Game,Denzel Council Entered the Game
,,,,1 - 10:13,,Ty Toney,Left the Game,Montrel Goldston Entered the Game
,,,,1 - 10:00,,Denzel Council,Turnover,
Benji Bell,Turnover,,,1 - 9:49,,,,
,,,,1 - 9:48,,Taquan Givens,Steal,
,,,16-15,1 - 9:45,1,Denzel Council,Field Goal Made,
,,,,1 - 9:40,,Taquan Givens,Assist,
,,,,1 - 9:31,,Taquan Givens,Defensive Foul,
Benji Bell,Left the Game,Brandon Austin Entered the Game,,1 - 9:31,,,,
,,,,1 - 9:31,,Doniel Dean,Left the Game,
,,,,1 - 9:31,,Taquan Givens,Left the Game,
,,,,1 - 9:31,,Montrel Goldston,Left the Game,
,,,,1 - 9:31,,Denzel Council,Left the Game,
,,,,1 - 9:31,,Donovan Harris,Left the Game,Doniel Dean Entered the Game
,,,,1 - 9:31,,Montrel Goldston,Entered the Game,
,,,,1 - 9:31,,Denzel Council,Entered the Game,
,,,,1 - 9:31,,Terrence Thompson,Entered the Game,
,,,,1 - 9:31,,Donovan Harris,Entered the Game,
Brandon Austin,Field Goal Attempt,,,1 - 9:25,,,,Montrel Goldston Defensive Rebound
,,Jalen Jackson Defensive Rebound,,1 - 9:10,,Denzel Council,Field Goal Attempt,
Jalen Jackson,Field Goal Made,,18-15,1 - 9:00,3,,,
Xavier Moon,Assist,,,1 - 9:00,,,,
,,,,1 - 8:39,,Doniel Dean,Field Goal Attempt,Donovan Harris Offensive Rebound
,,,18-17,1 - 8:37,1,Donovan Harris,Field Goal Made,
Jalen Jackson,Three Point Made,,21-17,1 - 8:18,4,,,
Xavier Moon,Assist,,,1 - 8:17,,,,
,,,,1 - 7:54,,Denzel Council,Turnover,
,,,,1 - 7:53,,Denzel Council,Left the Game,Ty Toney Entered the Game
Jalen Jackson,Three Point Attempt,,,1 - 7:41,,,,Montrel Goldston Defensive Rebound
,,,,1 - 7:24,,Montrel Goldston,Turnover,
